,name,asset_ownership_name,latitude,longitude,asset_type,country
1443,Bellefontaine power station,Electricité de France SA,14.669495,-61.154613,oil_and_gas_plant,France
1444,Chabahar power station,Saba Power and Energy Group,25.328319,60.786341,oil_and_gas_plant,"Iran, Islamic Republic of"
1445,Megalopoli power station,Public Power Corporation SA,37.417449,22.107892,oil_and_gas_plant,Greece
1446,Kawas Combined Cycle power plant,NTPC Ltd,21.175,72.6879,oil_and_gas_plant,India
1447,Mortlake power station,Origin Energy Ltd,-38.0630568,142.6657212,oil_and_gas_plant,Australia
1448,Cogen Altamira power station,Cogeneración de Altamira SA,22.375297,-97.890932,oil_and_gas_plant,Mexico
1449,Lee Steam Plant,Duke Energy Progress LLC,35.373611,-78.08944,oil_and_gas_plant,United States
1450,Gunsan CC power station,Korea Western Power Co Ltd,35.9836,126.7307,oil_and_gas_plant,
1451,Llanos Blancos power station,Prime Energia,-30.149815,-71.219205,oil_and_gas_plant,Chile
1452,Sorek-2 cogeneration power station,OPC Energy Ltd,31.9435410791774,34.7329008865062,oil_and_gas_plant,Israel
1453,Walton County power station,Walton County Power LLC,33.8148,-83.6954,oil_and_gas_plant,United States
1454,General Electric Plastic power station,Alabama Power Co,32.310226,-86.52542,oil_and_gas_plant,United States
1455,John S Rainey power station,Santee Cooper,34.347734,-82.774478,oil_and_gas_plant,United States
1456,Gresik AKR Estate power station,PT AKR Corporindo Tbk,-7.089043,112.606961,oil_and_gas_plant,Indonesia
1457,Cedar Bayou power station,NRG Texas Power LLC,29.75,-94.9256,oil_and_gas_plant,United States
1458,Guodian Zhongshan Minzhong Gas Thermal power station,Guodian Zhongshan Gas Power Generation Co Ltd Minzhong Thermal Power Plant,22.67285,113.496632,oil_and_gas_plant,China
1459,Shin Pyeongtaek power station,Shin Pyongtaek Power Co Ltd,37.0038433697458,126.794635234685,oil_and_gas_plant,
1460,Acadia energy center,Entergy Corp,30.428611,-92.41306,oil_and_gas_plant,United States
1461,One Asia Quang Tri power station,One Asia Development Thailand,19.7442465421675,105.695483118848,oil_and_gas_plant,Viet Nam
1462,Syrdarya II power station,Nebras Power QPSC,40.242115,69.10543,oil_and_gas_plant,Uzbekistan
1463,Wuxi West Zone Gas Thermal power station,Wuxi Western Gas Thermoelectric Co Ltd,31.634457,120.232722,oil_and_gas_plant,China
1464,Sai Regency Power power plant,KSK Energy Ventures Ltd,9.3627029974617,78.8932658834333,oil_and_gas_plant,India
1465,Los Esteros Critical energy center,Los Esteros Critical Energy Facility LLC,37.425,-121.9319,oil_and_gas_plant,United States
1466,Sohar power plant,Sohar Power Company SAOG,24.472185,56.633203,oil_and_gas_plant,
1467,Darling Downs power station,Origin Energy Ltd,-27.1169,150.8942,oil_and_gas_plant,Australia
1468,South Hedland power station,TransAlta Corp,-20.4279966,118.5481111,oil_and_gas_plant,Australia
1469,GACL Dahej Caustic Captive power plant,GACL-NALCO Alkalies and Chemicals Private Limited (GNAL),21.7097501,72.6904024,oil_and_gas_plant,India
1470,Batangas (Millenium) power station,Panasia Energy Inc,13.628766,121.082334,oil_and_gas_plant,Philippines
1471,Muara Tawar power station,PT Pembangkitan Jawa Bali,-6.0867,106.9987,oil_and_gas_plant,Indonesia
1472,Thika Power Plant,Thika Power Ltd,-1.05997318300946,37.0502330692313,oil_and_gas_plant,Kenya
